15,5,20,N,8,99999
,8,,,9,99999
,10,,,10,99999
,12,,,11,99999
,15,,,12,99999
,18,,,13,99999
,21,,,14,99999
16,5,20,N,15,99999
,8,,,16,99999
,10,,,17,99999
,12,,,18,99999
,15,,,19,99999
,18,,,20,99999
,21,,,21,99999
18,5,20,N,22,-100
,8,,,23,-100
,10,,,24,-100
,12,,,25,-100
,15,,,26,0
,18,,,27,0
,21,,,28,300
21,5,20,N,36,400
,8,,,37,400
,10,,,38,400
,12,,,39,400
,15,,,40,500
,18,,,41,500
,21,,,42,700
24,5,20,N,50,800
,8,,,51,800
,10,,,52,800
,12,,,53,800
,15,,,54,900
,18,,,55,900
,21,,,56,1200
27,5,20,N,64,1300
,8,,,65,1300
,10,,,66,1300
,12,,,67,1300
,15,,,68,1400
,18,,,69,1400
,21,,,70,1800
30,5,20,N,78,1800
,8,,,79,1800
,10,,,80,1800
,12,,,81,1800
,15,,,82,1900
,18,,,83,1900
,21,,,84,2300
33,5,20,N,92,2200
,8,,,93,2200
,10,,,94,2200
,12,,,95,2200
,15,,,96,2400
,18,,,97,2400
,21,,,98,2850
36,5,20,N,113,2700
,8,,,114,2700
,10,,,115,2700
,12,,,116,2700
,15,,,117,2900
,18,,,118,99999
,21,,,119,99999
40,5,20,N,120,99999
,8,,,121,99999
,10,,,122,99999
,12,,,123,99999
,15,,,124,99999
,18,,,125,99999
,21,,,126,99999
42,5,20,N,127,99999
,8,,,128,99999
,10,,,129,99999
,12,,,130,99999
,15,,,131,99999
,18,,,132,99999
,21,,,133,99999
45,5,20,N,134,99999
,8,,,135,99999
,10,,,136,99999
,12,,,137,99999
,15,,,138,99999
,18,,,139,99999
,21,,,140,99999
15,5,40,N,508,99999
,8,,,509,99999
,10,,,510,99999
,12,,,511,99999
,15,,,512,99999
,18,,,513,99999
,21,,,514,99999
16,5,40,N,515,99999
,8,,,516,99999
,10,,,517,99999
,12,,,518,99999
,15,,,519,99999
,18,,,520,99999
,21,,,521,99999
18,5,40,N,522,-100
,8,,,523,-100
,10,,,524,-100
,12,,,525,-100
,15,,,526,0
,18,,,527,0
,21,,,528,300
21,5,40,N,536,400
,8,,,537,400
,10,,,538,400
,12,,,539,400
,15,,,540,500
,18,,,541,500
,21,,,542,700
24,5,40,N,550,800
,8,,,551,800
,10,,,552,800
,12,,,553,800
,15,,,554,900
,18,,,555,900
,21,,,556,1200
27,5,40,N,564,1300
,8,,,565,1300
,10,,,566,1300
,12,,,567,1300
,15,,,568,1400
,18,,,569,1400
,21,,,570,1800
30,5,40,N,578,1800
,8,,,579,1800
,10,,,580,1800
,12,,,581,1800
,15,,,582,1900
,18,,,583,1900
,21,,,584,2300
33,5,40,N,592,2200
,8,,,593,2200
,10,,,594,2200
,12,,,595,2200
,15,,,596,2400
,18,,,597,2400
,21,,,598,2850
36,5,40,N,613,2700
,8,,,614,2700
,10,,,615,2700
,12,,,616,2700
,15,,,617,2900
,18,,,618,99999
,21,,,619,99999
40,5,40,N,627,99999
,8,,,628,99999
,10,,,629,99999
,12,,,630,99999
,15,,,631,99999
,18,,,632,99999
,21,,,633,99999
42,5,40,N,634,99999
