5426,㈱拓進,末,21000,3,0
379,㈱竹内工務店,末,20500,3,0
916,武末建設㈱,20,20500,0,1
5431,㈲竹本綜合建設,末,20500,3,0
389,たしろ工業㈱,末,20500,3,0
391,㈱竜田産業,末,20500,3,0
392,㈲立石工務店,末,20500,3,0
393,㈱建吉組,5,20300,0,1
394,田中建設㈱,末,21000,3,0
390,㈱タナカ建装,末,20500,3,0
395,㈲田中産業,末,20300,3,0
396,㈱玉城建設,20,20500,3,0
399,㈱丹波建設,末,20500,3,0
405,㈱辻組,末,20300,2,0
409,ディ.エス.大進工業㈱,20,20500,0,1
416,㈲寺本工務店(益城町),末,20300,3,0
198,天栄建設㈱,末,20300,3,0
385,㈲田建設工業,末,20500,3,0
418,㈱天明建設,末,20300,3,0
419,㈱土井組,20,21000,3,0
421,㈱東栄建設(合志市),末,20300,3,0
607,㈱東生企業,末,20300,3,0
428,㈱東築建設,末,20300,1,0
432,東陽道㈱,末,20500,1,0
436,㈱トーカイ,末,20500,3,0
438,㈲戸田建設(沖新),末,20500,2,0
442,㈲主海建設,20,20500,2,0
440,㈱冨坂建設,末,20500,0,1
443,㈲冨田産業,末,20500,3,0
444,㈱豊岡組,末,21000,3,0
450,㈱豊岡建設,15,21000,3,0
445,㈱豊建,末,20500,3,0
446,㈱中内土木,末,20800,3,0
915,㈱中川組,末,20800,3,0
451,㈲永広産業,末,20500,3,0
452,長田建設㈱,末,20500,1,0
453,㈲永田工務店,末,20500,3,0
455,㈱中村建設(天草),20,21000,3,0
460,中村産業㈲(河内),末,20500,3,0
463,㈱中山組,末,20500,3,0
456,㈱中山建設,末,21000,3,0
465,鍋谷商会㈱,末,20500,3,0
467,㈱南州土木,末,20300,1,0
468,㈱南陽建設,末,21000,1,0
476,㈱西村建設(美里町),末,21000,3,0
482,日章工業㈱,末,20500,3,0
494,昇建設㈱,末,20300,3,0
495,㈱橋口組,末,20300,1,0
496,㈱橋本建設(小国),末,21000,0,1
498,㈱八方建設,末,20500,2,0
5596,花昭建設㈱,末,21000,3,0
503,㈱バンズ,末,20300,3,0
511,日置工業㈱,末,20500,3,0
5614,肥後技研㈱,末,20500,3,0
516,肥後木村組㈱,末,20300,1,0
517,㈱肥後建設社,末,21000,3,0
522,㈲平江建設,末,20500,3,0
5617,㈱平野建設,末,21000,3,0
529,㈱福岡建設,25,20800,3,0
532,㈲福本建設,末,20300,3,0
542,藤川建設㈱,末,20500,3,0
539,㈱藤永組,末,21000,0,1
543,㈱フチガミ,末,21000,3,0
5649,㈲古田建設,末,21000,3,0
544,㈲ヘイセイ,末,20300,3,0
552,㈱飽南産業,末,20500,3,0
555,北陽建設㈱,末,20500,1,0
557,㈲堀田建設,末,20300,3,0
559,㈲本道建設,末,20300,3,0
561,㈱前田技建工業,末,20500,3,0
570,㈱前田建設,末,21000,3,0
564,マコト建設㈱,20,20500,3,0
566,益田産業㈱,末,20500,1,0
567,㈱増永組,末,20500,0,1
575,㈱松島建設,末,21000,1,0
576,松隆建設㈱,末,20500,3,0
578,㈲松本建設(益城),末,20500,3,0
579,松本建設㈱(城南),末,20500,3,0
580,㈲丸木建設,末,20300,1,0
581,㈱マルコ建設,末,21000,3,0
584,丸昭建設㈱,末,21000,0,1
583,丸成産業㈱,末,20300,1,0
586,㈱丸立,末,21000,3,0
595,㈱三津野建設,15,20300,0,1
596,三和建設㈱,末,21000,3,0
599,㈲緑川工業,末,20500,3,0
603,㈱南建設,末,20300,3,0
604,㈱三牧建設工業,25,20500,3,0
5749,宮田建設㈱,20,20500,3,0
615,宮原建設㈱,末,21000,3,0
608,宮本建設㈱,末,20300,1,0
606,㈱三善建設,末,20300,3,0
618,㈲むつみ建設工業,末,20500,3,0
5759,㈱武藤組,20,20500,3,0
619,㈱武藤建設,末,20500,3,0
621,㈲村上建設(河内),末,20500,3,0
622,村上建設㈱(大津),末,20500,1,0
627,㈱村建,末,20500,0,1
630,㈱明興建設,末,20500,1,0
631,明治建設㈱,末,20500,2,0
632,明和建設㈱,末,20300,1,0
5789,㈲本山建設,末,21000,3,0
638,㈱森工業(阿蘇),末,20800,3,0
643,㈱守平建設,10,20500,0,1
652,㈱安武建設工業,末,20500,3,0
5806,㈲安本重機工業,末,20500,3,0
653,㈱やすらぎ住建,末,20300,3,0
656,㈲八十建設,末,20500,1,0
658,矢部開発㈱,末,20300,3,0
660,㈱山内建設,末,21000,3,0
659,㈱山内産業,末,20500,3,0
661,㈲山形工務店,末,20500,3,0
662,㈱山口工務店,25,20500,3,0
663,㈲山田土木,末,20500,3,0
5818,㈲山辺建設,末,20500,3,0
670,㈲山本建設工業,末,20500,3,0
674,弥生建設㈱,末,20500,3,0
678,㈱友栄建設,末,20500,3,0
676,㈱優渾,末,20500,0,1
679,㈲熊池建設,末,20300,3,0
684,㈱ユーホーム,末,20500,3,0
5843,㈱熊阿建設工業,末,21000,3,0
682,㈱幸保工務店,25,20500,3,0
681,豊建設工業㈱,末,21000,3,0
683,㈱豊工務店,20,20500,1,0
688,吉川建設㈲(嘉島),末,20300,3,0
701,㈱吉田企業,末,21000,3,0
690,㈱吉永産業,末,20500,0,1
695,㈱吉本組,末,20500,1,0
697,㈲米満産業,末,20500,3,0
698,㈱米本工務店,末,21000,3,0
5889,㈱隆勢,末,20500,3,0
700,苓州建設工業㈱,20,21000,0,1
5900,㈲六嘉企業,末,20500,3,0
5901,㈱六香建設,末,20500,3,0
5912,㈱ＹＳＫ企画,末,21000,3,0
703,和久田建設㈱,20,21000,3,0
5918,㈲和田工務店(天草）,末,21000,3,0
704,㈲和田商会,末,21000,3,0
